date,ticker,action,price,quantity,commission,strategy,zscore
2024-02-21,MHK,BUY,123.02,1,0.06151,mean_reversion,-1080.297228823603
2024-02-22,LEVI,BUY,22.12,1,0.01106,mean_reversion,-1092.516982296342
2024-02-22,MHK,SELL,123.28,1,0.06164,mean_reversion,-1092.516982296342
2024-02-23,LEVI,SELL,22.2,1,0.0111,mean_reversion,-1065.105102884522
2024-02-23,MHK,BUY,120.87,1,0.060435,mean_reversion,-1065.105102884522
2024-02-26,LEVI,BUY,22.08,1,0.01104,mean_reversion,-1060.8116759886948
2024-02-26,MHK,SELL,120.36,1,0.06018,mean_reversion,-1060.8116759886948
2024-02-27,LEVI,SELL,21.84,1,0.01092,mean_reversion,-1047.6011316938418
2024-02-27,MHK,BUY,118.92,1,0.05946,mean_reversion,-1047.6011316938418
2024-02-28,LEVI,BUY,21.95,1,0.010975,mean_reversion,-1053.435788757402
2024-02-28,MHK,SELL,119.56,1,0.05978,mean_reversion,-1053.435788757402
2024-02-29,LEVI,SELL,21.74,1,0.01087,mean_reversion,-1032.0787421473894
2024-02-29,MHK,BUY,117.41,1,0.058705,mean_reversion,-1032.0787421473894
2024-03-01,LEVI,BUY,21.69,1,0.010845,mean_reversion,-1014.4646830875856
2024-03-01,MHK,SELL,115.76,1,0.05788,mean_reversion,-1014.4646830875856
2024-03-04,LEVI,SELL,22.14,1,0.01107,mean_reversion,-1016.8866162083086
2024-03-04,MHK,BUY,116.43,1,0.058215,mean_reversion,-1016.8866162083086
2024-03-05,LEVI,BUY,22.62,1,0.01131,mean_reversion,-1004.2265112590744
2024-03-05,MHK,SELL,115.76,1,0.05788,mean_reversion,-1004.2265112590744
2024-03-06,LEVI,SELL,22.78,1,0.01139,mean_reversion,-1005.327389950312
2024-03-06,MHK,BUY,116.02,1,0.05801,mean_reversion,-1005.327389950312
2024-03-07,LEVI,BUY,23.49,1,0.011745,trend_following,-1026.0239093455818
2024-03-07,MHK,SELL,118.61,1,0.059305,trend_following,-1026.0239093455818
2024-03-08,LEVI,SELL,24.01,1,0.012005,trend_following,-1056.8485127002389
2024-03-08,MHK,BUY,121.93,1,0.060965,trend_following,-1056.8485127002389
2024-03-11,LEVI,BUY,24.16,1,0.01208,mean_reversion,-1046.1699893952327
2024-03-11,MHK,SELL,121.11,1,0.060555,mean_reversion,-1046.1699893952327
2024-03-12,LEVI,SELL,23.75,1,0.011875,mean_reversion,-990.68570335685
2024-03-12,MHK,BUY,115.66,1,0.05783,mean_reversion,-990.68570335685
2024-03-13,LEVI,BUY,24.17,1,0.012085,mean_reversion,-1011.0519591447484
2024-03-13,MHK,SELL,117.93,1,0.058965,mean_reversion,-1011.0519591447484
2024-03-14,LEVI,SELL,23.84,1,0.01192,mean_reversion,-993.107636477573
2024-03-14,MHK,BUY,115.97,1,0.057985,mean_reversion,-993.107636477573
2024-03-15,LEVI,BUY,23.53,1,0.011765,mean_reversion,-968.5580416629712
2024-03-15,MHK,SELL,113.43,1,0.056715,mean_reversion,-968.5580416629712
2024-03-18,LEVI,SELL,23.58,1,0.01179,mean_reversion,-1019.1984614599078
2024-03-18,MHK,BUY,118.08,1,0.05904,mean_reversion,-1019.1984614599078
2024-03-19,LEVI,BUY,23.7,1,0.01185,mean_reversion,-970.099271830704
2024-03-19,MHK,SELL,113.74,1,0.05687,mean_reversion,-970.099271830704
2024-03-20,LEVI,SELL,23.71,1,0.011855,mean_reversion,-989.3646489273648
2024-03-20,MHK,BUY,115.5,1,0.05775,mean_reversion,-989.3646489273648
2024-03-21,LEVI,BUY,23.38,1,0.0116899999999999,mean_reversion,-974.06243511916
2024-03-21,MHK,SELL,113.78,1,0.05689,mean_reversion,-974.06243511916
2024-03-22,LEVI,SELL,22.85,1,0.011425,mean_reversion,-960.5216272169356
2024-03-22,MHK,BUY,112.02,1,0.05601,mean_reversion,-960.5216272169356
2024-03-25,LEVI,BUY,23.48,1,0.01174,mean_reversion,-958.31986983446
2024-03-25,MHK,SELL,112.45,1,0.056225,mean_reversion,-958.31986983446
2024-03-26,LEVI,SELL,23.54,1,0.01177,mean_reversion,-947.2009950529588
2024-03-26,MHK,BUY,111.5,1,0.05575,mean_reversion,-947.2009950529588
2024-03-27,LEVI,BUY,23.02,1,0.01151,mean_reversion,-951.2742462105384
2024-03-27,MHK,SELL,111.35,1,0.0556749999999999,mean_reversion,-951.2742462105384
2024-03-28,LEVI,SELL,23.01,1,0.011505,mean_reversion,-969.5488324850852
2024-03-28,MHK,BUY,113.0,1,0.0565,mean_reversion,-969.5488324850852
2024-03-29,LEVI,BUY,23.22,1,0.01161,mean_reversion,-964.7049662436392
2024-03-29,MHK,SELL,112.77,1,0.056385,mean_reversion,-964.7049662436392
2024-04-01,LEVI,SELL,23.0,1,0.0115,mean_reversion,-896.2303116486509
2024-04-01,MHK,BUY,106.33,1,0.053165,mean_reversion,-896.2303116486509
2024-04-02,LEVI,BUY,23.12,1,0.01156,mean_reversion,-900.1934749371068
2024-04-02,MHK,SELL,106.81,1,0.053405,mean_reversion,-900.1934749371068
2024-04-03,LEVI,SELL,19.56,1,0.0097799999999999,mean_reversion,-953.0356521165188
2024-04-03,MHK,BUY,108.05,1,0.054025,mean_reversion,-953.0356521165188
2024-04-04,LEVI,BUY,19.28,1,0.00964,trend_following,-1017.106791946556
2024-04-04,MHK,SELL,113.59,1,0.056795,trend_following,-1017.106791946556
2024-04-05,LEVI,SELL,19.22,1,0.00961,trend_following,-977.1448954546256
2024-04-05,MHK,BUY,109.9,1,0.05495,trend_following,-977.1448954546256
2024-04-08,LEVI,BUY,19.08,1,0.00954,trend_following,-983.4199039946808
2024-04-08,MHK,SELL,110.33,1,0.055165,trend_following,-983.4199039946808
2024-04-09,LEVI,SELL,19.04,1,0.0095199999999999,trend_following,-978.5760377532348
2024-04-09,MHK,BUY,109.85,1,0.054925,trend_following,-978.5760377532348
2024-04-10,LEVI,BUY,19.13,1,0.0095649999999999,mean_reversion,-966.3562842804956
2024-04-10,MHK,SELL,108.83,1,0.054415,mean_reversion,-966.3562842804956
2024-04-11,LEVI,SELL,18.96,1,0.00948,mean_reversion,-1001.47431453098
2024-04-11,MHK,BUY,111.85,1,0.0559249999999999,mean_reversion,-1001.47431453098
2024-04-12,LEVI,BUY,18.38,1,0.00919,mean_reversion,-987.2729794140132
2024-04-12,MHK,SELL,109.98,1,0.05499,mean_reversion,-987.2729794140132
2024-04-15,LEVI,SELL,18.56,1,0.00928,mean_reversion,-1017.8774070304224
2024-04-15,MHK,BUY,112.94,1,0.05647,mean_reversion,-1017.8774070304224
2024-04-16,LEVI,BUY,19.12,1,0.00956,trend_following,-1103.745944946967
2024-04-16,MHK,SELL,121.3,1,0.06065,trend_following,-1103.745944946967
2024-04-17,LEVI,SELL,19.11,1,0.009555,trend_following,-1144.2582807845165
2024-04-17,MHK,BUY,124.97,1,0.062485,trend_following,-1144.2582807845165
2024-04-18,LEVI,BUY,18.62,1,0.00931,mean_reversion,-1181.1377169409811
2024-04-18,MHK,SELL,127.83,1,0.063915,mean_reversion,-1181.1377169409811
2024-04-19,LEVI,SELL,18.95,1,0.0094749999999999,mean_reversion,-1231.117609523175
2024-04-19,MHK,BUY,132.7,1,0.0663499999999999,mean_reversion,-1231.117609523175
2024-04-22,LEVI,BUY,18.5,1,0.00925,mean_reversion,-1228.0351491877095
2024-04-22,MHK,SELL,131.97,1,0.065985,mean_reversion,-1228.0351491877095
2024-04-23,LEVI,SELL,18.36,1,0.00918,mean_reversion,-1220.879437694664
2024-04-23,MHK,BUY,131.18,1,0.06559,mean_reversion,-1220.879437694664
2024-04-24,LEVI,BUY,18.33,1,0.009165,mean_reversion,-1197.6508973095474
2024-04-24,MHK,SELL,129.04,1,0.06452,mean_reversion,-1197.6508973095474
2024-04-25,LEVI,SELL,18.48,1,0.00924,mean_reversion,-1177.0644657834014
2024-04-25,MHK,BUY,127.32,1,0.06366,mean_reversion,-1177.0644657834014
2024-04-26,LEVI,BUY,18.09,1,0.009045,mean_reversion,-1189.504394994388
2024-04-26,MHK,SELL,128.06,1,0.06403,mean_reversion,-1189.504394994388
2024-04-29,LEVI,SELL,17.5,1,0.00875,mean_reversion,-1186.311846789799
2024-04-29,MHK,BUY,127.18,1,0.06359,mean_reversion,-1186.311846789799
2024-04-30,LEVI,BUY,17.37,1,0.008685,mean_reversion,-1268.327309287011
