date,ticker,action,price,quantity,commission,cash,portfolio_value,position
2024-06-06,LEVI,SELL,23.38,17,1.9873,102627.57014999997,111601.49,-17
2024-06-06,MHK,BUY,113.78,82,46.649800000000006,93250.96034999996,111601.49,82
2024-06-07,LEVI,SELL,22.85,16,1.828,93614.73234999998,111466.18,-33
2024-06-07,MHK,BUY,112.02,83,46.4883,84270.58404999998,111466.18,165
2024-06-10,LEVI,SELL,23.48,17,1.9958,84667.74824999998,111516.34,-50
2024-06-10,MHK,BUY,112.45,82,46.1045,75400.74374999998,111516.34,247
2024-06-11,LEVI,SELL,23.54,17,2.0009,75798.92284999997,111278.69,-67
2024-06-11,MHK,BUY,111.5,82,45.714999999999996,66610.20784999998,111278.69,329
2024-06-12,LEVI,SELL,23.02,17,1.9566999999999999,66999.59114999998,111264.18,-84
2024-06-12,MHK,BUY,111.35,82,45.653499999999994,57823.23764999998,111264.18,411
2024-06-13,LEVI,SELL,23.01,16,1.8408000000000002,58189.556849999986,111943.16999999998,-100
2024-06-13,MHK,BUY,113.0,83,46.895,48763.66184999999,111943.16999999998,494
2024-06-14,LEVI,SELL,23.22,17,1.9737,49156.428149999985,111808.55,-117
2024-06-14,MHK,BUY,112.77,82,46.235699999999994,39863.05244999999,111808.55,576
2024-06-17,LEVI,SELL,23.0,17,1.955,40252.09744999999,108124.85,-134
2024-06-17,MHK,BUY,106.33,82,43.595299999999995,31489.442149999988,108124.85,658
2024-06-18,LEVI,SELL,23.12,17,1.9652,31880.51694999999,108424.61,-151
2024-06-18,MHK,BUY,106.81,82,43.792100000000005,23078.304849999993,108424.61,740
2024-06-20,LEVI,NONE,19.56,0,0,23078.304849999993,109879.77,-151
2024-06-20,MHK,NONE,108.05,0,0,23078.304849999993,109879.77,740
2024-06-21,LEVI,BUY,19.28,151,14.556400000000002,20152.468449999993,116441.81,0
2024-06-21,MHK,SELL,113.59,740,420.2830000000001,103788.78545,116441.81,0
2024-06-24,LEVI,NONE,19.22,0,0,103788.78545,116441.81,0
2024-06-24,MHK,NONE,109.9,0,0,103788.78545,116441.81,0
2024-06-25,LEVI,NONE,19.08,0,0,103788.78545,116441.81,0
2024-06-25,MHK,NONE,110.33,0,0,103788.78545,116441.81,0
2024-06-26,LEVI,NONE,19.04,0,0,103788.78545,116441.81,0
2024-06-26,MHK,NONE,109.85,0,0,103788.78545,116441.81,0
2024-06-27,LEVI,NONE,19.13,0,0,103788.78545,116441.81,0
2024-06-27,MHK,NONE,108.83,0,0,103788.78545,116441.81,0
2024-06-28,LEVI,NONE,18.96,0,0,103788.78545,116441.81,0
2024-06-28,MHK,NONE,111.85,0,0,103788.78545,116441.81,0
2024-07-01,LEVI,NONE,18.38,0,0,103788.78545,116441.81,0
2024-07-01,MHK,NONE,109.98,0,0,103788.78545,116441.81,0
2024-07-02,LEVI,NONE,18.56,0,0,103788.78545,116441.81,0
2024-07-02,MHK,NONE,112.94,0,0,103788.78545,116441.81,0
2024-07-03,LEVI,NONE,19.12,0,0,103788.78545,116441.81,0
2024-07-03,MHK,NONE,121.3,0,0,103788.78545,116441.81,0
2024-07-05,LEVI,NONE,19.11,0,0,103788.78545,116441.81,0
2024-07-05,MHK,NONE,124.97,0,0,103788.78545,116441.81,0
2024-07-08,LEVI,NONE,18.62,0,0,103788.78545,116441.81,0
2024-07-08,MHK,NONE,127.83,0,0,103788.78545,116441.81,0
2024-07-09,LEVI,NONE,18.95,0,0,103788.78545,116441.81,0
2024-07-09,MHK,NONE,132.7,0,0,103788.78545,116441.81,0
2024-07-10,LEVI,NONE,18.5,0,0,103788.78545,116441.81,0
2024-07-10,MHK,NONE,131.97,0,0,103788.78545,116441.81,0
2024-07-11,LEVI,NONE,18.36,0,0,103788.78545,116441.81,0
2024-07-11,MHK,NONE,131.18,0,0,103788.78545,116441.81,0
2024-07-12,LEVI,NONE,18.33,0,0,103788.78545,116441.81,0
2024-07-12,MHK,NONE,129.04,0,0,103788.78545,116441.81,0
2024-07-15,LEVI,NONE,18.48,0,0,103788.78545,116441.81,0
2024-07-15,MHK,NONE,127.32,0,0,103788.78545,116441.81,0
2024-07-16,LEVI,NONE,18.09,0,0,103788.78545,116441.81,0
2024-07-16,MHK,NONE,128.06,0,0,103788.78545,116441.81,0
2024-07-17,LEVI,NONE,17.5,0,0,103788.78545,116441.81,0
2024-07-17,MHK,NONE,127.18,0,0,103788.78545,116441.81,0
2024-07-18,LEVI,BUY,17.37,11,0.9553500000000001,103596.76009999998,116441.81,11
2024-07-18,MHK,SELL,134.5,88,59.18,115373.58009999999,116441.81,-88
2024-07-19,LEVI,SELL,17.88,11,0.9833999999999999,115569.27669999999,111840.07,0
2024-07-19,MHK,BUY,160.71,188,151.06740000000002,85204.72929999998,111840.07,100
2024-07-22,LEVI,BUY,18.31,10,0.9155,85020.71379999997,112039.07,10
2024-07-22,MHK,SELL,162.7,89,72.4015,99428.61229999996,112039.07,11
2024-07-23,LEVI,SELL,18.26,10,0.913,99610.29929999997,112046.76,0
2024-07-23,MHK,BUY,162.1,89,72.1345,85111.26479999998,112046.76,100
2024-07-24,LEVI,BUY,18.33,10,0.9165,84927.04829999997,111943.76,10
2024-07-24,MHK,SELL,161.07,89,71.67615,99190.60214999996,111943.76,11
