date,ticker,action,price,quantity,commission,cash,portfolio_value
2024-04-23,MHK,BUY,131.18,1,0.06559,99984.86459499998,99984.86459499998
2024-04-24,LEVI,BUY,18.33,1,0.009165,99966.52542999998,99982.90542999998
2024-04-24,MHK,SELL,129.04,1,0.06452,100095.50090999996,99996.87090999998
2024-04-25,LEVI,SELL,18.48,1,0.00924,100113.97166999996,99998.96166999998
2024-04-25,MHK,BUY,127.32,1,0.06366,99986.58800999996,99986.58800999996
2024-04-26,LEVI,BUY,18.09,1,0.009045,99968.48896499995,99984.86896499996
2024-04-26,MHK,SELL,128.06,1,0.06403,100096.48493499996,99997.85493499998
2024-04-29,LEVI,SELL,17.5,1,0.00875,100113.97618499998,99998.96618499998
2024-04-29,MHK,BUY,127.18,1,0.06359,99986.73259499998,99986.73259499998
2024-04-30,LEVI,BUY,17.37,1,0.008685,99969.35390999998,99985.73390999998
2024-04-30,MHK,SELL,134.5,1,0.06725,100103.78665999998,100005.15666
2024-05-01,LEVI,SELL,17.88,1,0.00894,100121.65772,100006.64772
2024-05-01,MHK,BUY,160.71,1,0.080355,99960.86736499998,99960.86736499998
2024-05-02,LEVI,BUY,18.31,1,0.009155,99942.54820999998,99958.92820999998
2024-05-02,MHK,SELL,162.7,1,0.0813499999999999,100105.16685999998,100006.53686
2024-05-03,LEVI,SELL,18.26,1,0.00913,100123.41773,100008.40773
2024-05-03,MHK,BUY,162.1,1,0.08105,99961.23668,99961.23668
2024-05-06,LEVI,BUY,18.33,1,0.009165,99942.897515,99959.277515
2024-05-06,MHK,SELL,161.07,1,0.080535,100103.88698,100005.25698
2024-05-07,LEVI,SELL,17.87,1,0.008935,100121.748045,100006.738045
2024-05-07,MHK,BUY,156.48,1,0.0782399999999999,99965.189805,99965.189805
2024-05-08,LEVI,BUY,17.15,1,0.008575,99948.03123,99964.41123
2024-05-08,MHK,SELL,152.31,1,0.076155,100100.265075,100001.635075
2024-05-09,LEVI,SELL,16.95,1,0.008475,100117.2066,100002.1966
2024-05-09,MHK,BUY,147.0,1,0.0735,99970.1331,99970.1331
2024-05-10,LEVI,BUY,17.51,1,0.008755,99952.614345,99968.994345
2024-05-10,MHK,SELL,146.67,1,0.073335,100099.21101,100000.58101000002
2024-05-13,LEVI,SELL,17.18,1,0.00859,100116.38242,100001.37242
2024-05-13,MHK,BUY,143.44,1,0.07172,99972.8707,99972.8707
2024-05-14,LEVI,BUY,17.68,1,0.00884,99955.18186,99971.56186000002
2024-05-14,MHK,SELL,145.53,1,0.072765,100100.639095,100002.00909500002
2024-05-15,LEVI,SELL,17.52,1,0.00876,100118.150335,100003.14033500002
2024-05-15,MHK,BUY,146.45,1,0.073225,99971.62711000002,99971.62711000002
2024-05-16,LEVI,BUY,17.79,1,0.008895,99953.82821500002,99970.20821500002
2024-05-16,MHK,SELL,144.28,1,0.07214,100098.036075,99999.40607500002
2024-05-17,LEVI,SELL,18.25,1,0.009125,100116.27695,100001.26695000002
2024-05-17,MHK,BUY,146.88,1,0.07344,99969.32351000002,99969.32351000002
2024-05-20,LEVI,BUY,18.06,1,0.00903,99951.25448000002,99967.63448000002
2024-05-20,MHK,SELL,144.03,1,0.072015,100095.21246500002,99996.58246500004
2024-05-21,LEVI,SELL,18.81,1,0.009405,100114.01306,99999.00306000002
2024-05-21,MHK,BUY,146.71,1,0.073355,99967.229705,99967.229705
2024-05-22,LEVI,BUY,18.99,1,0.009495,99948.23021,99964.61021
2024-05-22,MHK,SELL,146.42,1,0.07321,100094.577,99995.947
2024-05-23,LEVI,SELL,19.36,1,0.00968,100113.92732,99998.91732
2024-05-23,MHK,BUY,149.38,1,0.0746899999999999,99964.47263,99964.47263
2024-05-24,LEVI,BUY,18.98,1,0.00949,99945.48314,99961.86314
2024-05-24,MHK,SELL,147.84,1,0.07392,100093.24922,99994.61922
2024-05-27,LEVI,SELL,19.29,1,0.0096449999999999,100112.529575,99997.519575
2024-05-27,MHK,BUY,150.32,1,0.07516,99962.134415,99962.134415
2024-05-28,LEVI,BUY,18.94,1,0.00947,99943.184945,99959.564945
2024-05-28,MHK,SELL,149.88,1,0.0749399999999999,100092.990005,99994.360005
2024-05-29,LEVI,SELL,19.5,1,0.00975,100112.480255,99997.470255
2024-05-29,MHK,BUY,157.75,1,0.078875,99954.65137999998,99954.65137999998
2024-05-30,LEVI,BUY,18.99,1,0.009495,99935.65188499998,99952.031885
