,LEVI,MHK,LEVI_position,MHK_position,cumulative_pnl,portfolio_value
2024-07-16,18.09,128.06,0,0,16441.809999999998,116441.81
2024-07-17,17.5,127.18,0,0,16441.809999999998,116441.81
2024-07-18,17.37,134.5,11,-88,16441.809999999998,116441.81
2024-07-19,17.88,160.71,0,100,11840.069999999996,111840.06999999999
2024-07-22,18.31,162.7,10,11,12039.069999999994,112039.06999999999
2024-07-23,18.26,162.1,0,100,12046.759999999995,112046.76
2024-07-24,18.33,161.07,10,11,11943.759999999995,111943.76
2024-07-25,17.87,156.48,0,100,11822.249999999995,111822.25
2024-07-26,17.15,152.31,10,11,11405.249999999996,111405.25
2024-07-29,16.95,147.0,0,100,11238.559999999996,111238.56
2024-07-30,17.51,146.67,10,11,11205.559999999994,111205.56
2024-07-31,17.18,143.44,20,-78,11166.729999999994,111166.73
2024-08-01,17.68,145.53,30,-167,11013.709999999994,111013.70999999999
2024-08-02,17.52,146.45,40,-256,10855.269999999995,110855.26999999999
2024-08-05,17.79,144.28,50,-345,11421.589999999991,111421.59
2024-08-06,18.25,146.88,61,-433,10547.589999999993,110547.59
2024-08-07,18.06,144.03,72,-521,11770.04999999999,111770.04999999999
2024-08-08,18.81,146.71,83,-609,10427.769999999986,110427.76999999999
2024-08-09,18.99,146.42,94,-697,10619.319999999998,110619.31999999999
2024-08-12,19.36,149.38,0,100,6011.9299999999785,106011.92999999998
2024-08-13,18.98,147.84,11,12,5857.929999999979,105857.92999999998
2024-08-14,19.29,150.32,22,-76,5891.099999999979,105891.09999999998
2024-08-15,18.94,149.88,33,-164,5916.839999999979,105916.83999999998
2024-08-16,19.5,157.75,44,-252,4644.6399999999785,104644.63999999998
2024-08-19,18.99,155.13,54,-341,5282.43999999998,105282.43999999997
2024-08-20,19.3,154.07,65,-429,5660.63999999998,105660.63999999998
2024-08-21,18.82,154.54,75,-518,5427.80999999998,105427.80999999998
2024-08-22,19.04,153.68,86,-606,5889.789999999973,105889.78999999998
2024-08-23,19.27,155.14,0,100,4161.929999999988,104161.93
2024-08-26,19.2,150.84,11,12,3731.9299999999894,103731.93
2024-08-27,19.08,150.63,22,-76,3728.0899999999892,103728.09
2024-08-28,18.83,148.73,33,-164,3866.98999999999,103866.98999999999
2024-08-29,18.61,147.92,44,-252,3992.56999999999,103992.56999999999
2024-08-30,18.83,149.14,55,-340,3694.8099999999904,103694.81
2024-09-03,19.23,149.86,66,-428,3472.009999999981,103472.00999999998
2024-09-04,19.29,148.38,66,-428,4109.409999999989,104109.40999999999
2024-09-05,19.24,150.08,77,-516,3378.5099999999816,103378.50999999998
2024-09-06,19.93,156.55,88,-604,93.11999999998216,100093.11999999998
2024-09-09,19.48,155.82,99,-692,494.43999999999323,100494.43999999999
2024-09-10,19.7,154.95,110,-780,1118.2599999999961,101118.26
2024-09-11,19.78,156.61,121,-868,-167.7400000000232,99832.25999999998
2024-09-12,19.92,158.17,132,-956,-1504.8800000000003,98495.12
2024-09-13,20.16,157.6,143,-1044,-928.280000000007,99071.71999999999
2024-09-16,20.42,157.91,143,-1044,-1214.740000000009,98785.26
2024-09-17,20.68,157.08,143,-1044,-311.040000000026,99688.95999999998
2024-09-18,20.88,154.34,143,-1044,2578.1199999999835,102578.11999999998
2024-09-19,21.46,156.5,0,0,-2917.3700000000217,97082.62999999998
2024-09-20,21.65,158.81,0,0,-2917.3700000000217,97082.62999999998
2024-09-23,21.8,160.68,0,0,-2917.3700000000217,97082.62999999998
2024-09-24,21.68,159.49,0,0,-2917.3700000000217,97082.62999999998
2024-09-25,21.06,159.49,0,0,-2917.3700000000217,97082.62999999998
2024-09-26,19.44,158.5,10,-89,-2917.3700000000217,97082.62999999998
2024-09-27,19.82,154.44,0,100,-2187.090000000021,97812.90999999997
2024-09-30,19.66,155.2,0,0,-2035.0900000000229,97964.90999999997
2024-10-01,19.27,155.54,11,-88,-2035.0900000000229,97964.90999999997
2024-10-02,18.89,159.0,21,-177,-2343.7500000000236,97656.24999999997
2024-10-03,18.72,156.78,31,-266,-1954.3800000000238,98045.61999999998
2024-10-04,19.14,157.3,41,-355,-2079.680000000026,97920.31999999998
2024-10-07,19.04,158.18,51,-444,-2396.180000000025,97603.81999999998
2024-10-08,19.32,159.85,0,100,-4211.670000000019,95788.32999999999
2024-10-09,18.74,160.96,10,11,-4100.670000000018,95899.32999999999
2024-10-10,18.51,159.2,0,100,-4131.780000000019,95868.21999999999
2024-10-11,18.66,161.05,10,11,-3946.7800000000166,96053.21999999999
2024-10-15,18.65,161.25,0,100,-3922.2300000000164,96077.76999999999
2024-10-16,18.31,152.93,10,11,-4754.230000000016,95245.76999999999
2024-10-17,17.78,151.7,20,-78,-4773.060000000016,95226.93999999999
2024-10-18,17.49,151.87,30,-167,-4792.120000000017,95207.87999999998
2024-10-21,17.48,130.88,30,-167,-1287.0900000000152,98712.90999999999
2024-10-22,17.66,131.71,0,0,1927.1599999999812,101927.15999999997
2024-10-23,17.39,132.41,0,0,1927.1599999999812,101927.15999999997
2024-10-24,17.41,135.29,0,0,1927.1599999999812,101927.15999999997
2024-10-25,17.09,134.27,0,0,1927.1599999999812,101927.15999999997
2024-10-28,17.19,134.28,0,0,1927.1599999999812,101927.15999999997
2024-10-29,17.0,136.75,11,-88,1927.1599999999812,101927.15999999997
2024-10-30,16.88,140.44,21,-177,1601.1199999999815,101601.11999999998
2024-10-31,17.03,147.6,31,-266,336.9499999999821,100336.94999999998
2024-11-01,17.07,145.07,41,-355,1011.1699999999823,101011.16999999998
2024-11-04,16.93,145.94,51,-444,696.5799999999807,100696.57999999999
2024-11-05,16.97,145.49,61,-533,898.4199999999756,100898.41999999997
2024-11-06,16.86,141.82,71,-622,2847.8199999999842,102847.81999999998
2024-11-07,16.98,141.48,81,-711,3067.8199999999865,103067.81999999999
2024-11-08,16.76,140.34,91,-800,3860.5399999999768,103860.53999999998
2024-11-12,16.57,140.33,101,-889,3851.2499999999695,103851.24999999997
2024-11-13,16.18,138.47,111,-978,5465.399999999981,105465.39999999998
2024-11-14,15.99,135.64,121,-1067,8212.049999999994,108212.04999999999
2024-11-15,15.8,135.73,131,-1156,8093.029999999991,108093.02999999998
2024-11-18,15.97,137.49,141,-1245,6080.739999999969,106080.73999999996
2024-11-19,16.32,138.77,151,-1334,4536.489999999967,104536.48999999996
2024-11-20,17.11,145.03,161,-1423,-3695.0600000000213,96304.93999999997
2024-11-21,16.78,139.92,171,-1512,3523.3399999999983,103523.34
2024-11-22,16.91,139.1,181,-1601,4785.409999999988,104785.40999999999
2024-11-25,17.46,138.83,181,-1601,5317.22999999996,105317.22999999995
2024-11-26,18.18,136.33,0,0,16972.940000000002,116972.94
2024-11-27,18.4,135.43,0,0,16972.940000000002,116972.94
2024-11-29,18.49,131.22,0,0,16972.940000000002,116972.94
2024-12-02,17.9,131.43,0,0,16972.940000000002,116972.94
2024-12-03,17.77,130.92,0,0,16972.940000000002,116972.94
2024-12-04,17.55,132.97,0,0,16972.940000000002,116972.94
2024-12-05,17.43,130.97,0,0,16972.940000000002,116972.94
2024-12-06,17.48,130.97,0,0,16972.940000000002,116972.94
2024-12-09,17.37,130.4,0,0,16972.940000000002,116972.94
2024-12-10,17.3,127.81,0,0,16972.940000000002,116972.94
2024-12-11,17.11,126.71,0,0,16972.940000000002,116972.94
2024-12-12,16.95,124.7,0,0,16972.940000000002,116972.94
2024-12-13,16.79,119.1,0,0,16972.940000000002,116972.94
2024-12-16,16.65,116.82,0,0,16972.940000000002,116972.94
2024-12-17,17.39,119.16,0,0,16972.940000000002,116972.94
2024-12-18,17.32,119.54,0,0,16972.940000000002,116972.94
2024-12-19,17.44,120.19,0,0,16972.940000000002,116972.94
2024-12-20,17.47,119.66,0,0,16972.940000000002,116972.94
2024-12-23,17.19,118.82,0,0,16972.940000000002,116972.94
2024-12-24,17.34,118.54,0,0,16972.940000000002,116972.94
2024-12-26,17.3,119.13,0,0,16972.940000000002,116972.94
2024-12-27,17.42,115.92,0,0,16972.940000000002,116972.94
2024-12-30,17.61,117.31,0,0,16972.940000000002,116972.94
2024-12-31,17.84,117.77,0,0,16972.940000000002,116972.94
2025-01-02,17.67,117.3,0,0,16972.940000000002,116972.94
2025-01-03,17.86,118.28,0,0,16972.940000000002,116972.94
2025-01-06,17.62,118.09,0,0,16972.940000000002,116972.94
2025-01-07,17.42,122.87,0,0,16972.940000000002,116972.94
2025-01-08,17.39,125.58,0,0,16972.940000000002,116972.94
2025-01-09,17.72,130.06,0,0,16972.940000000002,116972.94
2025-01-10,17.57,128.72,0,0,16972.940000000002,116972.94
2025-01-13,17.37,129.27,0,0,16972.940000000002,116972.94
2025-01-14,17.54,130.66,0,0,16972.940000000002,116972.94
2025-01-15,17.62,130.62,0,0,16972.940000000002,116972.94
2025-01-16,17.81,130.83,0,0,16972.940000000002,116972.94
2025-01-17,17.54,125.3,0,0,16972.940000000002,116972.94
2025-01-21,18.24,127.97,0,0,16972.940000000002,116972.94
2025-01-22,18.36,124.39,0,0,16972.940000000002,116972.94
2025-01-23,18.09,125.94,0,0,16972.940000000002,116972.94
2025-01-24,18.85,126.49,0,0,16972.940000000002,116972.94
2025-01-27,19.03,122.3,0,0,16972.940000000002,116972.94
2025-01-28,18.66,119.04,0,0,16972.940000000002,116972.94
2025-01-29,19.22,120.12,0,0,16972.940000000002,116972.94
2025-01-30,19.19,120.84,0,0,16972.940000000002,116972.94
2025-01-31,19.06,121.97,0,0,16972.940000000002,116972.94
2025-02-03,18.44,120.33,0,0,16972.940000000002,116972.94
2025-02-04,18.21,117.47,0,0,16972.940000000002,116972.94
2025-02-05,17.79,119.3,0,0,16972.940000000002,116972.94
2025-02-06,17.48,116.75,0,0,16972.940000000002,116972.94
2025-02-07,18.22,119.69,0,0,16972.940000000002,116972.94
2025-02-10,18.27,121.01,0,0,16972.940000000002,116972.94
2025-02-11,18.09,119.44,0,0,16972.940000000002,116972.94
2025-02-12,18.22,118.44,0,0,16972.940000000002,116972.94
2025-02-13,18.67,118.0,0,0,16972.940000000002,116972.94
2025-02-14,18.39,115.9,0,0,16972.940000000002,116972.94
2025-02-18,18.91,115.41,0,0,16972.940000000002,116972.94
2025-02-19,18.15,118.77,0,0,16972.940000000002,116972.94
2025-02-20,17.77,118.67,0,0,16972.940000000002,116972.94
2025-02-21,17.49,116.46,0,0,16972.940000000002,116972.94
2025-02-24,17.97,117.59,0,0,16972.940000000002,116972.94
2025-02-25,17.23,116.3,0,0,16972.940000000002,116972.94
2025-02-26,16.55,112.98,0,0,16972.940000000002,116972.94
2025-02-27,16.66,117.01,0,0,16972.940000000002,116972.94
2025-02-28,16.48,118.17,0,0,16972.940000000002,116972.94
2025-03-03,16.48,117.01,0,0,16972.940000000002,116972.94
2025-03-04,16.19,115.76,0,0,16972.940000000002,116972.94
2025-03-05,16.23,112.52,0,0,16972.940000000002,116972.94
2025-03-06,16.36,113.41,0,0,16972.940000000002,116972.94
2025-03-07,15.59,110.92,0,0,16972.940000000002,116972.94
2025-03-10,16.11,114.3,0,0,16972.940000000002,116972.94
2025-03-11,16.44,114.67,0,0,16972.940000000002,116972.94
2025-03-12,15.82,114.27,0,0,16972.940000000002,116972.94
2025-03-13,16.08,114.51,0,0,16972.940000000002,116972.94
2025-03-14,15.8,114.27,0,0,16972.940000000002,116972.94
2025-03-17,16.05,111.87,0,0,16972.940000000002,116972.94
2025-03-18,16.04,116.5,0,0,16972.940000000002,116972.94
2025-03-19,16.09,116.07,0,0,16972.940000000002,116972.94
2025-03-20,16.04,116.86,0,0,16972.940000000002,116972.94
2025-03-21,15.98,117.19,0,0,16972.940000000002,116972.94
2025-03-24,15.69,113.74,0,0,16972.940000000002,116972.94
2025-03-25,15.59,114.18,0,0,16972.940000000002,116972.94
2025-03-26,16.38,115.01,0,0,16972.940000000002,116972.94
