date,ticker,action,price,quantity,commission,strategy,zscore
1008,MHK,SELL,116.37,1,0.058185,mean_reversion,-1017.7673191612988
1009,LEVI,SELL,22.16,1,0.01108,mean_reversion,-1034.3905873989888
1009,MHK,BUY,118.04,1,0.05902,mean_reversion,-1034.3905873989888
1010,LEVI,BUY,22.25,1,0.011125,mean_reversion,-1034.1704116607411
1010,MHK,SELL,118.11,1,0.059055,mean_reversion,-1034.1704116607411
1011,LEVI,SELL,21.98,1,0.01099,mean_reversion,-1038.3537506874447
1011,MHK,BUY,118.22,1,0.05911,mean_reversion,-1038.3537506874447
1012,LEVI,BUY,22.68,1,0.01134,mean_reversion,-1047.1607802173467
1012,MHK,SELL,119.72,1,0.059860000000000003,mean_reversion,-1047.1607802173467
1013,LEVI,SELL,22.62,1,0.01131,mean_reversion,-1048.8120982542034
1013,MHK,BUY,119.81,1,0.059905,mean_reversion,-1048.8120982542034
1014,LEVI,BUY,22.68,1,0.01134,mean_reversion,-1062.0226425490562
1014,MHK,SELL,121.07,1,0.060535,mean_reversion,-1062.0226425490562
1015,LEVI,SELL,22.97,1,0.011485,mean_reversion,-1080.297228823603
1015,MHK,BUY,123.02,1,0.06151,mean_reversion,-1080.297228823603
1016,LEVI,BUY,22.12,1,0.01106,mean_reversion,-1092.5169822963421
1016,MHK,SELL,123.28,1,0.06164,mean_reversion,-1092.5169822963421
1017,LEVI,SELL,22.2,1,0.0111,mean_reversion,-1065.105102884522
1017,MHK,BUY,120.87,1,0.060435,mean_reversion,-1065.105102884522
1018,LEVI,BUY,22.08,1,0.01104,mean_reversion,-1060.8116759886948
1018,MHK,SELL,120.36,1,0.060180000000000004,mean_reversion,-1060.8116759886948
1019,LEVI,SELL,21.84,1,0.010920000000000001,mean_reversion,-1047.6011316938418
1019,MHK,BUY,118.92,1,0.05946,mean_reversion,-1047.6011316938418
1020,LEVI,BUY,21.95,1,0.010975,mean_reversion,-1053.435788757402
1020,MHK,SELL,119.56,1,0.05978,mean_reversion,-1053.435788757402
1021,LEVI,SELL,21.74,1,0.01087,mean_reversion,-1032.0787421473894
1021,MHK,BUY,117.41,1,0.058705,mean_reversion,-1032.0787421473894
1022,LEVI,BUY,21.69,1,0.010845,mean_reversion,-1014.4646830875856
1022,MHK,SELL,115.76,1,0.05788,mean_reversion,-1014.4646830875856
1023,LEVI,SELL,22.14,1,0.01107,mean_reversion,-1016.8866162083086
1023,MHK,BUY,116.43,1,0.058215,mean_reversion,-1016.8866162083086
1024,LEVI,BUY,22.62,1,0.01131,mean_reversion,-1004.2265112590744
1024,MHK,SELL,115.76,1,0.05788,mean_reversion,-1004.2265112590744
1025,LEVI,SELL,22.78,1,0.01139,mean_reversion,-1005.3273899503121
1025,MHK,BUY,116.02,1,0.05801,mean_reversion,-1005.3273899503121
1026,LEVI,BUY,23.49,1,0.011745,trend_following,-1026.0239093455818
1026,MHK,SELL,118.61,1,0.059305000000000004,trend_following,-1026.0239093455818
1027,LEVI,SELL,24.01,1,0.012005000000000002,trend_following,-1056.8485127002389
1027,MHK,BUY,121.93,1,0.060965000000000005,trend_following,-1056.8485127002389
1028,LEVI,BUY,24.16,1,0.01208,mean_reversion,-1046.1699893952327
1028,MHK,SELL,121.11,1,0.060555,mean_reversion,-1046.1699893952327
1029,LEVI,SELL,23.75,1,0.011875,mean_reversion,-990.68570335685
1029,MHK,BUY,115.66,1,0.05783,mean_reversion,-990.68570335685
1030,LEVI,BUY,24.17,1,0.012085,mean_reversion,-1011.0519591447485
1030,MHK,SELL,117.93,1,0.058965000000000004,mean_reversion,-1011.0519591447485
1031,LEVI,SELL,23.84,1,0.01192,mean_reversion,-993.107636477573
1031,MHK,BUY,115.97,1,0.057985,mean_reversion,-993.107636477573
1032,LEVI,BUY,23.53,1,0.011765000000000001,mean_reversion,-968.5580416629713
1032,MHK,SELL,113.43,1,0.056715,mean_reversion,-968.5580416629713
1033,LEVI,SELL,23.58,1,0.01179,mean_reversion,-1019.1984614599078
1033,MHK,BUY,118.08,1,0.05904,mean_reversion,-1019.1984614599078
1034,LEVI,BUY,23.7,1,0.01185,mean_reversion,-970.099271830704
1034,MHK,SELL,113.74,1,0.05687,mean_reversion,-970.099271830704
1035,LEVI,SELL,23.71,1,0.011855000000000001,mean_reversion,-989.3646489273647
1035,MHK,BUY,115.5,1,0.05775,mean_reversion,-989.3646489273647
1036,LEVI,BUY,23.38,1,0.011689999999999999,mean_reversion,-974.06243511916
1036,MHK,SELL,113.78,1,0.05689,mean_reversion,-974.06243511916
1037,LEVI,SELL,22.85,1,0.011425000000000001,mean_reversion,-960.5216272169355
1037,MHK,BUY,112.02,1,0.05601,mean_reversion,-960.5216272169355
1038,LEVI,BUY,23.48,1,0.01174,mean_reversion,-958.3198698344601
1038,MHK,SELL,112.45,1,0.056225000000000004,mean_reversion,-958.3198698344601
1039,LEVI,SELL,23.54,1,0.01177,mean_reversion,-947.2009950529589
1039,MHK,BUY,111.5,1,0.05575,mean_reversion,-947.2009950529589
1040,LEVI,BUY,23.02,1,0.01151,mean_reversion,-951.2742462105385
1040,MHK,SELL,111.35,1,0.055674999999999995,mean_reversion,-951.2742462105385
1041,LEVI,SELL,23.01,1,0.011505000000000001,mean_reversion,-969.5488324850852
1041,MHK,BUY,113.0,1,0.0565,mean_reversion,-969.5488324850852
1042,LEVI,BUY,23.22,1,0.01161,mean_reversion,-964.7049662436391
1042,MHK,SELL,112.77,1,0.056385,mean_reversion,-964.7049662436391
1043,LEVI,SELL,23.0,1,0.0115,mean_reversion,-896.2303116486509
