date,ticker,action,price,quantity,commission,cash,portfolio_value
1025,LEVI,SELL,22.78,1,0.01139,100113.22643999998,99998.21643999999
1025,MHK,BUY,116.02,1,0.05801,99997.14842999999,99997.14842999999
1026,LEVI,BUY,23.49,1,0.011745,99973.64668499999,99990.02668499999
1026,MHK,SELL,118.61,1,0.059305000000000004,100092.19737999998,99993.56738
1027,LEVI,SELL,24.01,1,0.012005000000000002,100116.19537499998,100001.18537499999
1027,MHK,BUY,121.93,1,0.060965000000000005,99994.20440999998,99994.20440999998
1028,LEVI,BUY,24.16,1,0.01208,99970.03232999997,99986.41232999998
1028,MHK,SELL,121.11,1,0.060555,100091.08177499997,99992.45177499998
1029,LEVI,SELL,23.75,1,0.011875,100114.81989999997,99999.80989999998
1029,MHK,BUY,115.66,1,0.05783,99999.10206999998,99999.10206999998
1030,LEVI,BUY,24.17,1,0.012085,99974.91998499999,99991.29998499999
1030,MHK,SELL,117.93,1,0.058965000000000004,100092.79101999999,99994.16102
1031,LEVI,SELL,23.84,1,0.01192,100116.6191,100001.6091
1031,MHK,BUY,115.97,1,0.057985,100000.591115,100000.591115
1032,LEVI,BUY,23.53,1,0.011765000000000001,99977.04935,99993.42935
1032,MHK,SELL,113.43,1,0.056715,100090.422635,99991.792635
1033,LEVI,SELL,23.58,1,0.01179,100113.990845,99998.980845
1033,MHK,BUY,118.08,1,0.05904,99995.851805,99995.851805
1034,LEVI,BUY,23.7,1,0.01185,99972.13995499999,99988.519955
1034,MHK,SELL,113.74,1,0.05687,100085.823085,99987.193085
1035,LEVI,SELL,23.71,1,0.011855000000000001,100109.52123,99994.51123
1035,MHK,BUY,115.5,1,0.05775,99993.96347999999,99993.96347999999
1036,LEVI,BUY,23.38,1,0.011689999999999999,99970.57178999999,99986.95178999999
1036,MHK,SELL,113.78,1,0.05689,100084.2949,99985.6649
1037,LEVI,SELL,22.85,1,0.011425000000000001,100107.133475,99992.123475
1037,MHK,BUY,112.02,1,0.05601,99995.05746499999,99995.05746499999
1038,LEVI,BUY,23.48,1,0.01174,99971.565725,99987.945725
1038,MHK,SELL,112.45,1,0.056225000000000004,100083.9595,99985.3295
1039,LEVI,SELL,23.54,1,0.01177,100107.48773,99992.47773
1039,MHK,BUY,111.5,1,0.05575,99995.93198,99995.93198
1040,LEVI,BUY,23.02,1,0.01151,99972.90047,99989.28047
1040,MHK,SELL,111.35,1,0.055674999999999995,100084.19479499999,99985.564795
1041,LEVI,SELL,23.01,1,0.011505000000000001,100107.19329,99992.18329
1041,MHK,BUY,113.0,1,0.0565,99994.13678999999,99994.13678999999
1042,LEVI,BUY,23.22,1,0.01161,99970.90517999999,99987.28517999999
1042,MHK,SELL,112.77,1,0.056385,100083.61879499999,99984.988795
1043,LEVI,SELL,23.0,1,0.0115,100106.607295,99991.597295
1043,MHK,BUY,106.33,1,0.053165,100000.22412999999,100000.22412999999
1044,LEVI,BUY,23.12,1,0.01156,99977.09257,99993.47257
1044,MHK,SELL,106.81,1,0.053405,100083.84916499999,99985.219165
1045,LEVI,SELL,19.56,1,0.009779999999999999,100103.399385,99988.389385
